Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  13272   67.4%          /home/moniz/.nvm/versions/node/v12.11.1/bin/node
    986    5.0%          /usr/lib/x86_64-linux-gnu/libc-2.31.so
     11    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.28
      5    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    194    1.0%    3.6%  LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
     45    0.2%    0.8%  LazyCompile: *getEncodingOps buffer.js:644:24
     32    0.2%    0.6%  LazyCompile: *<anonymous> buffer.js:319:36

 [C++]:
   ticks  total  nonlib   name
    864    4.4%   16.0%  node::StringBytes::Encode(v8::Isolate*, char const*, unsigned long, node::encoding, v8::Local<v8::Value>*)
    347    1.8%    6.4%  __libc_malloc
    319    1.6%    5.9%  __GI___pthread_rwlock_unlock
    255    1.3%    4.7%  __write
    223    1.1%    4.1%  int v8::(anonymous namespace)::WriteUtf8Impl<unsigned char>(v8::internal::Vector<unsigned char const>, char*, int, int, int*)
    217    1.1%    4.0%  __GI___pthread_rwlock_wrlock
    183    0.9%    3.4%  __libc_calloc
    149    0.8%    2.8%  node::crypto::RandomBytes(v8::FunctionCallbackInfo<v8::Value> const&)
    135    0.7%    2.5%  node::ParseEncoding(char const*, node::encoding)
    131    0.7%    2.4%  v8::Value::IsArrayBufferView() const
    109    0.6%    2.0%  v8::String::NewFromOneByte(v8::Isolate*, unsigned char const*, v8::NewStringType, int)
    107    0.5%    2.0%  v8::String::WriteUtf8(v8::Isolate*, char*, int, int*, int) const
    107    0.5%    2.0%  v8::HandleScope::HandleScope(v8::Isolate*)
     96    0.5%    1.8%  void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)5>(v8::FunctionCallbackInfo<v8::Value> const&)
     96    0.5%    1.8%  __GI___pthread_getspecific
     91    0.5%    1.7%  node::Buffer::(anonymous namespace)::ParseArrayIndex(node::Environment*, v8::Local<v8::Value>, unsigned long, unsigned long*)
     90    0.5%    1.7%  v8::ArrayBuffer::GetContents()
